code,pinyin,pinyinwithtone
pEZ,qiang2,qiáng
kyZ,guang1,guāng
pdZ,qi1,qī
qbZ,yue1,yuē
toZ,hua1,huā
GcZ,mi3,mǐ
BnZ,nan2,nán
lwZ,mou3,mǒu
fjZ,xing2,xíng
nEZ,hang2,háng
aAZ,dao3,dǎo
CiZ,bie2,bié
zwZ,kou3,kǒu
xhZ,duan4,duàn
gvZ,wang4,wàng
paZ,qi4,qì
lQZ,mai3,mǎi
ryZ,gang1,gāng
rAZ,gao3,gǎo
AsZ,ai4,ài
PNZ,sui1,suī
GhZ,mian4,miàn
tJZ,hui2,huí
upZ,zhong4,zhòng
IdZ,qu1,qū
HfZ,chu2,chú
zqZ,kao4,kào
ghZ,wan4,wàn
RaZ,lu4,lù
tjZ,hong2,hóng
QAZ,pao3,pǎo
QuZ,pa4,pà
veZ,re4,rè
hQZ,bai3,bǎi
qxZ,yuan3,yuǎn
FcZ,ti3,tǐ
baZ,yi4,yì
snZ,tan2,tán
mxZ,lian3,liǎn
gaZ,wu4,wù
joZ,fa1,fā
hCZ,bai2,bái
maZ,li4,lì
kxZ,guan3,guǎn
gEZ,wang2,wáng
QsZ,pai4,pài
cDZ,sheng3,shěng
LfZ,ci2,cí
dpZ,jing4,jìng
CtZ,bian1,biān
RBZ,lun4,lùn
fBZ,xin4,xìn
jgZ,feng1,fēng
DyZ,shuang1,shuāng
xpZ,dong4,dòng
jxZ,fan3,fǎn
SeZ,ruo4,ruò
dGZ,jin3,jǐn
HtZ,chuan1,chuān
lEZ,mang2,máng
fhZ,xian4,xiàn
YcZ,nv3,nǚ
tiZ,huo2,huó
lHZ,ma3,mǎ
icZ,zi3,zǐ
clZ,shen1,shēn
nNZ,hei1,hēi
kpZ,gong4,gòng
PJZ,sui2,suí
SaZ,ru4,rù
kaZ,gu4,gù
nqZ,hao4,hào
ycZ,di3,dǐ
PhZ,suan4,suàn
aOZ,da2,dá
PpZ,song4,sòng
dAZ,jiao3,jiǎo
wgZ,cheng1,chēng
FfZ,ti2,tí
dwZ,jiu3,jiǔ
ctZ,shan1,shān
lbZ,me1,mē
mfZ,li2,lí
xxZ,duan3,duǎn
HnZ,chuan2,chuán
wPZ,chao2,cháo
uxZ,zhuan3,zhuǎn
uhZ,zhuan4,zhuàn
bxZ,yan3,yǎn
IcZ,qu3,qǔ
IrZ,qun2,qún
faZ,xi4,xì
kiZ,guo2,guó
mIZ,liu2,liú
xaZ,du4,dù
CAZ,biao3,biǎo
mdZ,li1,lī
tkZ,huo3,huǒ
wuZ,cha4,chà
wvZ,chang4,chàng
MnZ,tuan2,tuán
pIZ,qiu2,qiú
UdZ,pi1,pī
TdZ,ku1,kū
UhZ,pian4,piàn
fdZ,xi1,xī
EcZ,zu3,zǔ
lsZ,mai4,mài
wbZ,che1,chē
OlZ,jun1,jūn
UtZ,pian1,piān
ptZ,qian1,qiān
bnZ,yan2,yán
DmZ,shui4,shuì
eMZ,zhou1,zhōu
sCZ,tai2,tái
crZ,shen2,shén
dbZ,jie1,jiē
nbZ,he1,hē
jyZ,fang1,fāng
nxZ,han3,hǎn
beZ,ye4,yè
deZ,jie4,jiè
FkZ,tie3,tiě
FqZ,tiao4,tiào
atZ,dan1,dān
tEZ,huang2,huáng
xgZ,dong1,dōng
WaZ,lv4,lǜ
lxZ,man3,mǎn
KIZ,niu2,niú
lPZ,mao2,máo
zbZ,ke1,kē
htZ,ban1,bān
dlZ,jin1,jīn
pkZ,qie3,qiě
jfZ,fu2,fú
XpZ,nong4,nòng
ReZ,luo4,luò
uoZ,zhua1,zhuā
efZ,zhi2,zhí
EkZ,zuo3,zuǒ
EKZ,zui3,zuǐ
uyZ,zhuang1,zhuāng
NdZ,xu1,xū
diZ,jie2,jié
ypZ,ding4,dìng
kcZ,gu3,gǔ
yDZ,ding3,dǐng
eqZ,zhao4,zhào
hLZ,bao1,bāo
VlZ,cun1,cūn
FaZ,ti4,tì
hyZ,bang1,bāng
xfZ,du2,dú
FnZ,tian2,tián
uvZ,zhuang4,zhuàng
QRZ,pai1,pāi
hKZ,bei3,běi
oDZ,leng3,lěng
nnZ,han2,hán
pgZ,qing1,qīng
hNZ,bei1,bēi
dLZ,jiao1,jiāo
yqZ,diao4,diào
QCZ,pai2,pái
jhZ,fan4,fàn
RhZ,luan4,luàn
McZ,tu3,tǔ
taZ,hu4,hù
kgZ,gong1,gōng
OxZ,juan3,juǎn
OhZ,juan4,juàn
TcZ,ku3,kǔ
inZ,zan2,zán
thZ,huan4,huàn
FjZ,ting2,tíng
lcZ,mu3,mǔ
qrZ,yun2,yún
duZ,jia4,jià
jnZ,fan2,fán
vBZ,ren4,rèn
NeZ,xue4,xuè
ucZ,zhu3,zhǔ
ceZ,she4,shè
kuZ,gua4,guà
rwZ,gou3,gǒu
hqZ,bao4,bào
rxZ,gan3,gǎn
pPZ,qiao2,qiáo
tsZ,huai4,huài
CgZ,bing1,bīng
rsZ,gai4,gài
QeZ,po4,pò
nQZ,hai3,hǎi
xlZ,dun1,dūn
cMZ,shou1,shōu
LAZ,cao3,cǎo
kNZ,gui1,guī
cqZ,shao4,shào
aKZ,dei3,děi
aFZ,dang3,dǎng
rtZ,gan1,gān
eFZ,zhang3,zhǎng
mEZ,liang2,liáng
coZ,sha1,shā
bFZ,yang3,yǎng
zeZ,ke4,kè
ksZ,guai4,guài
jBZ,fen4,fèn
MNZ,tui1,tuī
btZ,yan1,yān
cLZ,shao1,shāo
BqZ,nao4,nào
gnZ,wan2,wán
GAZ,miao3,miǎo
mrZ,lin2,lín
cdZ,shi1,shī
JeZ,se4,sè
MKZ,tui3,tuǐ
lhZ,man4,màn
ddZ,ji1,jī
xNZ,dui1,duī
FDZ,ting3,tǐng
VeZ,cuo4,cuò
bpZ,ying4,yìng
xDZ,dong3,dǒng
qaZ,yu4,yù
rQZ,gai3,gǎi
QEZ,pang2,páng
EfZ,zu2,zú
pyZ,qiang1,qiāng
sqZ,tao4,tào
udZ,zhu1,zhū
UfZ,pi2,pí
jtZ,fan1,fān
bEZ,yang2,yáng
sFZ,tang3,tǎng
gxZ,wan3,wǎn
wrZ,chen2,chén
vzZ,rou4,ròu
yhZ,dian4,diàn
dHZ,jia3,jiǎ
TgZ,kong1,kōng
TpZ,kong4,kòng
KhZ,nian4,niàn
ItZ,quan1,quān
UjZ,ping2,píng
CaZ,bi4,bì
grZ,wen2,wén
HgZ,chong1,chōng
HNZ,chui1,chuī
fMZ,xiu1,xiū
bPZ,yao2,yáo
luZ,ma4,mà
HjZ,chong2,chóng
ktZ,guan1,guān
KEZ,niang2,niáng
OcZ,ju3,jǔ
TtZ,kuan1,kuān
MgZ,tong1,tōng
mDZ,ling3,lǐng
rbZ,ge1,gē
cOZ,sha2,shá
OfZ,ju2,jú
rzZ,gou4,gòu
HlZ,chun1,chūn
PaZ,su4,sù
agZ,deng1,dēng
ybZ,die1,diē
QOZ,pa2,pá
LsZ,cai4,cài
OiZ,jue2,jué
LEZ,cang2,cáng
JhZ,san4,sàn
kFZ,guang3,guǎng
iqZ,zao4,zào
hiZ,bo2,bó
hPZ,bao2,báo
xBZ,dun4,dùn
wcZ,chi3,chǐ
riZ,ge2,gé
GpZ,ming4,mìng
wMZ,chou1,chōu
dkZ,jie3,jiě
KAZ,niao3,niǎo
JdZ,si1,sī
fcZ,xi3,xǐ
bLZ,yao1,yāo
yfZ,di2,dí
QbZ,po1,pō
GrZ,min2,mín
njZ,heng2,héng
uGZ,zhun3,zhǔn
pjZ,qing2,qíng
pFZ,qiang3,qiǎng
bAZ,yao3,yǎo
VdZ,cu1,cū
huZ,ba4,bà
jmZ,fei4,fèi
xtZ,duan1,duān
BAZ,nao3,nǎo
MmZ,tui4,tuì
GPZ,miao2,miáo
hbZ,bo1,bō
oeZ,le4,lè
aLZ,dao1,dāo
IjZ,qiong2,qióng
MbZ,tuo1,tuō
NxZ,xuan3,xuǎn
BQZ,nai3,nǎi
plZ,qin1,qīn
wxZ,chan3,chǎn
bvZ,yang4,yàng
FLZ,tiao1,tiāo
cBZ,shen4,shèn
PtZ,suan1,suān
jEZ,fang2,fáng
nsZ,hai4,hài
egZ,zheng1,zhēng
utZ,zhuan1,zhuān
cxZ,shan3,shǎn
eDZ,zheng3,zhěng
vqZ,rao4,rào
vnZ,ran2,rán
chZ,shan4,shàn
AeZ,o4,ò
AeZ,e4,è
AiZ,o2,ó
AiZ,e2,é
bGZ,yin3,yǐn
sEZ,tang2,táng
wLZ,chao1,chāo
hcZ,bu3,bǔ
bjZ,ying2,yíng
NkZ,xue3,xuě
oIZ,lou2,lóu
lpZ,meng4,mèng
laZ,mu4,mù
RjZ,long2,lóng
oKZ,lei3,lěi
TDZ,kong3,kǒng
LQZ,cai3,cǎi
cyZ,shang1,shāng
IhZ,quan4,quàn
ngZ,heng1,hēng
EtZ,zuan1,zuān
gdZ,wu1,wū
pbZ,qie1,qiē
HrZ,chun2,chún
yMZ,diu1,diū
lLZ,mao1,māo
bfZ,yi2,yí
hxZ,ban3,bǎn
zvZ,kang4,kàng
SxZ,ruan3,ruǎn
kKZ,gui3,guǐ
FbZ,tie1,tiē
QnZ,pan2,pán
kkZ,guo3,guǒ
mjZ,ling2,líng
nhZ,han4,hàn
wOZ,cha2,chá
DfZ,shu2,shú
liZ,mo2,mó
leZ,mo4,mò
woZ,cha1,chā
MpZ,tong4,tòng
LoZ,ca1,cā
AtZ,an1,ān
PlZ,sun1,sūn
eBZ,zhen4,zhèn
OdZ,ju1,jū
QpZ,peng4,pèng
hAZ,bao3,bǎo
nBZ,hen4,hèn
tCZ,huai2,huái
goZ,wa1,wā
pxZ,qian3,qiǎn
tOZ,hua2,huá
fgZ,xing1,xīng
HEZ,chuang2,chuáng
IbZ,que1,quē
XjZ,nong2,nóng
tnZ,huan2,huán
bOZ,ya2,yá
meZ,lie4,liè
cpZ,sheng4,shèng
iQZ,zai3,zǎi
AcZ,er3,ěr
szZ,tou4,tòu
RxZ,luan3,luǎn
aoZ,da1,dā
lqZ,mao4,mào
pMZ,qiu1,qiū
KfZ,ni2,ní
RiZ,luo2,luó
HhZ,chuan4,chuàn
azZ,dou4,dòu
gNZ,wei1,wēi
QmZ,pei4,pèi
shZ,tan4,tàn
uNZ,zhui1,zhuī
PgZ,song1,sōng
gKZ,wei3,wěi
qhZ,yuan4,yuàn
WeZ,lve4,lüè
tNZ,hui1,huī
eiZ,zhe2,zhé
jJZ,fei2,féi
jGZ,fen3,fěn
eIZ,zhou2,zhóu
qBZ,yun4,yùn
pLZ,qiao1,qiāo
fiZ,xie2,xié
UGZ,pin3,pǐn
xkZ,duo3,duǒ
ubZ,zhuo1,zhuō
bBZ,yin4,yìn
wfZ,chi2,chí
LeZ,ce4,cè
gtZ,wan1,wān
ARZ,ai1,āi
GeZ,mie4,miè
lDZ,meng3,měng
QqZ,pao4,pào
QdZ,pu1,pū
QaZ,pu4,pù
GaZ,mi4,mì
ygZ,ding1,dīng
igZ,zeng1,zēng
NfZ,xu2,xú
apZ,deng4,dèng
RrZ,lun2,lún
aRZ,dai1,dāi
brZ,yin2,yín
glZ,wen1,wēn
kGZ,gun3,gǔn
iLZ,zao1,zāo
dxZ,jian3,jiǎn
svZ,tang4,tàng
fDZ,xing3,xǐng
zAZ,kao3,kǎo
PdZ,su1,sū
NgZ,xiong1,xiōng
WcZ,lv3,lǚ
onZ,lan2,lán
bbZ,yo1,yō
bbZ,ye1,yē
mhZ,lian4,liàn
mHZ,lia3,liǎ
QvZ,pang4,pàng
VrZ,cun2,cún
tBZ,hun4,hùn
MaZ,tu4,tù
sMZ,tou1,tōu
jdZ,fu1,fū
UcZ,pi3,pǐ
rMZ,gou1,gōu
lkZ,mo3,mǒ
CdZ,bi1,bī
prZ,qin2,qín
ABZ,en4,èn
ArZ,en2,én
nIZ,hou2,hóu
XxZ,nuan3,nuǎn
QrZ,pen2,pén
NcZ,xu3,xǔ
kmZ,gui4,guì
fnZ,xian2,xián
mqZ,liao4,liào
suZ,ta4,tà
syZ,tang1,tāng
AbZ,o1,ō
AbZ,e1,ē
tcZ,hu3,hǔ
sPZ,tao2,táo
ciZ,she2,shé
eoZ,zha1,zhā
lCZ,mai2,mái
KaZ,ni4,nì
wkZ,che3,chě
iOZ,za2,zá
ACZ,ai2,ái
QJZ,pei2,péi
tfZ,hu2,hú
JAZ,sao3,sǎo
MDZ,tong3,tǒng
rqZ,gao4,gào
csZ,shai4,shài
seZ,te4,tè
geZ,wo4,wò
NrZ,xun2,xún
ziZ,ke2,ké
jpZ,feng4,fèng
jjZ,feng2,féng
hvZ,bang4,bàng
JMZ,sou1,sōu
tdZ,hu1,hū
GnZ,mian2,mián
HJZ,chui2,chuí
BsZ,nai4,nài
fxZ,xian3,xiǎn
evZ,zhang4,zhàng
dDZ,jing3,jǐng
zGZ,ken3,kěn
kbZ,guo1,guō
DBZ,shun4,shùn
VBZ,cun4,cùn
dvZ,jiang4,jiàng
biZ,ye2,yé
ufZ,zhu2,zhú
zzZ,kou4,kòu
vgZ,reng1,rēng
khZ,guan4,guàn
bDZ,ying3,yǐng
TxZ,kuan3,kuǎn
EpZ,zong4,zòng
PbZ,suo1,suō
vFZ,rang3,rǎng
wwZ,chou3,chǒu
ElZ,zun1,zūn
TvZ,kuang4,kuàng
JRZ,sai1,sāi
eRZ,zhai1,zhāi
QDZ,peng3,pěng
ohZ,lan4,làn
VNZ,cui1,cuī
GfZ,mi2,mí
CLZ,biao1,biāo
QlZ,pen1,pēn
SjZ,rong2,róng
HxZ,chuan3,chuǎn
AQZ,ai3,ǎi
FdZ,ti1,tī
NjZ,xiong2,xióng
JHZ,sa3,sǎ
jiZ,fo2,fó
EdZ,zu1,zū
wAZ,chao3,chǎo
sjZ,teng2,téng
wBZ,chen4,chèn
HyZ,chuang1,chuāng
DRZ,shuai1,shuāi
iyZ,zang1,zāng
HvZ,chuang4,chuàng
TuZ,kua4,kuà
gGZ,wen3,wěn
ezZ,zhou4,zhòu
ALZ,ao1,āo
LnZ,can2,cán
hlZ,ben1,bēn
gbZ,wo1,wō
koZ,gua1,guā
zEZ,kang2,káng
pAZ,qiao3,qiǎo
wzZ,chou4,chòu
cjZ,sheng2,shéng
noZ,ha1,hā
tlZ,hun1,hūn
xiZ,duo2,duó
GqZ,miao4,miào
oEZ,lang2,láng
QcZ,pu3,pǔ
ScZ,ru3,rǔ
mMZ,liu1,liū
jwZ,fou3,fǒu
vxZ,ran3,rǎn
eLZ,zhao1,zhāo
etZ,zhan1,zhān
sAZ,tao3,tǎo
fLZ,xiao1,xiāo
UqZ,piao4,piào
zxZ,kan3,kǎn
MdZ,tu1,tū
jcZ,fu3,fǔ
ovZ,lang4,làng
AMZ,ou1,ōu
ljZ,meng2,méng
lgZ,meng1,mēng
TNZ,kui1,kuī
stZ,tan1,tān
RfZ,lu2,lú
exZ,zhan3,zhǎn
JsZ,sai4,sài
lOZ,ma2,má
hsZ,bai4,bài
wIZ,chou2,chóu
CfZ,bi2,bí
hOZ,ba2,bá
wRZ,chai1,chāi
xcZ,du3,dǔ
cHZ,sha3,shǎ
LLZ,cao1,cāo
lIZ,mou2,móu
mwZ,liu3,liǔ
LPZ,cao2,cáo
euZ,zha4,zhà
eOZ,zha2,zhá
PfZ,su2,sú
rFZ,gang3,gǎng
KbZ,nie1,niē
txZ,huan3,huǎn
WfZ,lv2,lǘ
NaZ,xu4,xù
KqZ,niao4,niào
rgZ,geng1,gēng
bhZ,yan4,yàn
gyZ,wang1,wāng
yiZ,die2,dié
DQZ,shuai3,shuǎi
mkZ,lie3,liě
mbZ,lie1,liē
oJZ,lei2,léi
LzZ,cou4,còu
TGZ,kun3,kǔn
GxZ,mian3,miǎn
izZ,zou4,zòu
QLZ,pao1,pāo
eQZ,zhai3,zhǎi
tyZ,huang1,huāng
HFZ,chuang3,chuǎng
ULZ,piao1,piāo
CxZ,bian3,biǎn
zHZ,ka3,kǎ
KwZ,niu3,niǔ
cGZ,shen3,shěn
tvZ,huang4,huàng
zgZ,keng1,kēng
wCZ,chai2,chái
NnZ,xuan2,xuán
iRZ,zai1,zāi
vkZ,re3,rě
phZ,qian4,qiàn
gRZ,wai1,wāi
VaZ,cu4,cù
QNZ,pei1,pēi
LtZ,can1,cān
gHZ,wa3,wǎ
sHZ,ta3,tǎ
CDZ,bing3,bǐng
iHZ,za3,zǎ
DHZ,shua3,shuǎ
ckZ,she3,shě
NBZ,xun4,xùn
DoZ,shua1,shuā
oLZ,lao1,lāo
oPZ,lao2,láo
waZ,chi4,chì
iJZ,zei2,zéi
foZ,xia1,xiā
feZ,xie4,xiè
wnZ,chan2,chán
lBZ,men4,mèn
juZ,fa4,fà
BhZ,nan4,nàn
ivZ,zang4,zàng
avZ,dang4,dàng
xdZ,du1,dū
JxZ,san3,sǎn
AOZ,a2,á
AuZ,a4,à
neZ,he4,hè
dOZ,jia2,jiá
mAZ,liao3,liǎo
ztZ,kan1,kān
HcZ,chu3,chǔ
JoZ,sa1,sā
FAZ,tiao3,tiǎo
ioZ,za1,zā
npZ,heng4,hèng
HpZ,chong4,chòng
DsZ,shuai4,shuài
cIZ,shou2,shóu
EhZ,zuan4,zuàn
LRZ,cai1,cāi
sRZ,tai1,tāi
TeZ,kuo4,kuò
byZ,yang1,yāng
jFZ,fang3,fǎng
TaZ,ku4,kù
tKZ,hui3,huǐ
QhZ,pan4,pàn
opZ,leng4,lèng
qDZ,yong3,yǒng
idZ,zi1,zī
weZ,che4,chè
ozZ,lou4,lòu
sLZ,tao1,tāo
lnZ,man2,mán
ffZ,xi2,xí
APZ,ao2,áo
TBZ,kun4,kùn
XaZ,nu4,nù
esZ,zhai4,zhài
EgZ,zong1,zōng
nRZ,hai1,hāi
trZ,hun2,hún
BBZ,nen4,nèn
QtZ,pan1,pān
vIZ,rou2,róu
iGZ,zen3,zěn
bMZ,you1,yōu
NhZ,xuan4,xuàn
BEZ,nang2,náng
tDZ,hong3,hǒng
fzZ,xiu4,xiù
VhZ,cuan4,cuàn
ojZ,leng2,léng
vGZ,ren3,rěn
KjZ,ning2,níng
TEZ,kuang2,kuáng
awZ,dou3,dǒu
lmZ,mei4,mèi
jOZ,fa2,fá
KDZ,ning3,nǐng
buZ,ya4,yà
hpZ,beng4,bèng
UrZ,pin2,pín
ihZ,zan4,zàn
cFZ,shang3,shǎng
qgZ,yong1,yōng
osZ,lai4,lài
LyZ,cang1,cāng
fOZ,xia2,xiá
dMZ,jiu1,jiū
tgZ,hong1,hōng
yLZ,diao1,diāo
QjZ,peng2,péng
dPZ,jiao2,jiáo
kQZ,guai3,guǎi
hBZ,ben4,bèn
TyZ,kuang1,kuāng
eHZ,zha3,zhǎ
kvZ,guang4,guàng
ouZ,la4,là
jKZ,fei3,fěi
VmZ,cui4,cuì
CbZ,bie1,biē
owZ,lou3,lǒu
axZ,dan3,dǎn
fEZ,xiang2,xiáng
kDZ,gong3,gǒng
DtZ,shuan1,shuān
QiZ,po2,pó
LxZ,can3,cǎn
NbZ,xue1,xuē
ToZ,kua1,kuā
MlZ,tun1,tūn
IfZ,qu2,qú
OtZ,juan1,juān
KpZ,ning4,nìng
AwZ,ou3,ǒu
RcZ,lu3,lǔ
JgZ,seng1,sēng
RDZ,long3,lǒng
iPZ,zao2,záo
hFZ,bang3,bǎng
oMZ,lou1,lōu
UlZ,pin1,pīn
UaZ,pi4,pì
uHZ,zhua3,zhuǎ
nPZ,hao2,háo
mPZ,liao2,liáo
QPZ,pao2,páo
mlZ,lin1,līn
hjZ,beng2,béng
AlZ,en1,ēn
ClZ,bin1,bīn
puZ,qia4,qià
PKZ,sui3,suǐ
wpZ,cheng4,chèng
ttZ,huan1,huān
GGZ,min3,mǐn
kdZ,gu1,gū
oxZ,lan3,lǎn
qlZ,yun1,yūn
PGZ,sun3,sǔn
nrZ,hen2,hén
umZ,zhui4,zhuì
bHZ,ya3,yǎ
MrZ,tun2,tún
HbZ,chuo1,chuō
QoZ,pa1,pā
NtZ,xuan1,xuān
zyZ,kang1,kāng
JyZ,sang1,sāng
vPZ,rao2,ráo
eGZ,zhen3,zhěn
XiZ,nuo2,nuó
AxZ,an3,ǎn
kBZ,gun4,gùn
uiZ,zhuo2,zhuó
UkZ,pie3,piě
UbZ,pie1,piē
MiZ,tuo2,tuó
qtZ,yuan1,yuān
GdZ,mi1,mī
usZ,zhuai4,zhuài
VbZ,cuo1,cuō
UAZ,piao3,piǎo
JvZ,sang4,sàng
ytZ,dian1,diān
pqZ,qiao4,qiào
jrZ,fen2,fén
PDZ,song3,sǒng
XfZ,nu2,nú
whZ,chan4,chàn
nwZ,hou3,hǒu
ppZ,qing4,qìng
RbZ,luo1,luō
KeZ,nie4,niè
ipZ,zeng4,zèng
FxZ,tian3,tiǎn
XeZ,nuo4,nuò
AqZ,ao4,ào
gOZ,wa2,wá
KxZ,nian3,niǎn
SBZ,run4,rùn
ggZ,weng1,wēng
rDZ,geng3,gěng
UPZ,piao2,piáo
oOZ,la2,lá
xeZ,duo4,duò
UBZ,pin4,pìn
hgZ,beng1,bēng
hDZ,beng3,běng
ODZ,jiong3,jiǒng
vAZ,rao3,rǎo
eCZ,zhai2,zhái
RkZ,luo3,luǒ
pvZ,qiang4,qiàng
JLZ,sao1,sāo
cRZ,shai1,shāi
mLZ,liao1,liāo
RlZ,lun1,lūn
QfZ,pu2,pú
XcZ,nu3,nǔ
JlZ,sen1,sēn
sxZ,tan3,tǎn
oNZ,lei1,lēi
EiZ,zuo2,zuó
oFZ,lang3,lǎng
wyZ,chang1,chāng
JuZ,sa4,sà
TlZ,kun1,kūn
SmZ,rui4,ruì
qGZ,yun3,yǔn
VgZ,cong1,cōng
AEZ,ang2,áng
MkZ,tuo3,tuǒ
zQZ,kai3,kǎi
JFZ,sang3,sǎng
QMZ,pou1,pōu
MeZ,tuo4,tuò
rkZ,ge3,gě
kHZ,gua3,guǎ
DFZ,shuang3,shuǎng
peZ,qie4,qiè
OBZ,jun4,jùn
TmZ,kui4,kuì
rvZ,gang4,gàng
fwZ,xiu3,xiǔ
cuZ,sha4,shà
TJZ,kui2,kuí
aQZ,dai3,dǎi
oHZ,la3,lǎ
LhZ,can4,càn
jDZ,feng3,fěng
roZ,ga1,gā
rOZ,ga2,gá
rHZ,ga3,gǎ
GzZ,miu4,miù
KdZ,ni1,nī
KvZ,niang4,niàng
DeZ,shuo4,shuò
UgZ,ping1,pīng
JzZ,sou4,sòu
kRZ,guai1,guāi
NlZ,xun1,xūn
tFZ,huang3,huǎng
IxZ,quan3,quǎn
zoZ,ka1,kā
SKZ,rui3,ruǐ
tbZ,huo1,huō
piZ,qie2,qié
QyZ,pang1,pāng
AAZ,ao3,ǎo
